#,gamma,C,accuracy,recall,precision,f1 score
1,"0,00001","1,8","58,75","58,86","66,17","57,50"
2,"0,0001","1,8","62,23","69,23","69,75","69,16"
3,"0,001","1,8","77,19","77,19","77,25","77,15"
4,"0,01","1,8","90,98","91,00","91,09","91,00"
5,"0,02","1,8","90,36","90,37","91,76","90,38"
6,"0,05","1,8","84,69","84,69","89,29","84,78"
7,"0,09","1,8","76,98","76,96","86,12","77,20"
8,"0,1","1,8","75,52","75,51","85,62","75,72"
9,1,"1,8","53,68","53,69","80,21","50,67"
10,2,"1,8","49,83","49,84","79,47","45,31"