before,after
klo,kalau
yg,yang
utk,untuk
jgn,jangan
krn,karena
karna,karena
dripada,daripada
drpd,daripada
hny,hanya
aamiin,amin
abiiss,habis
abis,habis
ad,ada
adl,adalah
adlah,adalah
adlh,adalah
ahh,ah
ahahaha,hahaha
ahahahaha,hahaha
ahirnya,akhirnya
ahlak,akhlak
aj,aja
ajaa,aja
ajah,aja
ajarrrrrr,ajar
aje,aja
ajh,aja
ajk,ajak
ak,aku
akbt,akibat
akhlaq,akhlak
aktivist,aktivis
alesan,alasan
alloh,allah
allohu,allahu
ambyur,ambyar
amien,amin
amiiin,amin
amiiinn,amin
amiin,amin
aminn,amin
ampe,sampai
ampei,sampai
ampir,hampir
ampunn,ampun
ampunnn,ampun
analis,analisis
analisa,analisis
ancur,hancur
ancem,ancam
ancoor,hancur
ancurrrr,hancur
and,dan
ane,saya
anggt,anggota
anjaay,anjay
anjeng,anjing
anjg,anjing
anjiiiiiiing,anjing
anjiingg,anjing
anjim,anjing
anjinggg,anjing
anjingggg,anjing
anjirr,anjir
anzing,anjing
ap,apa
apaa,apa
apakh,apakah
apalg,apalagi
apalgi,apalagi
apesss,apes
aplg,apalagi
asslmkm,assalamualaikum
astaghfirullah,astagfirullah
astaghfirulloh,astagfirullah
atlit,atlet
ato,atau
atw,atau
bagaimna,bagaimana
bagiannyaaaaaa,bagiannya
bagooooss,bagus
bangeeet,banget
bangettt,banget
bantua,bantuan
bapa,bapak
bapake,bapak
bapk,bapak
batasin,batasi
batttt,banget
bayangi,bayangkan
bayangin,bayangkan
bcus,becus
bebasin,bebaskan
bedain,bedakan
belom,belum
bener,benar
becanda,bercanda
becandaan,bercandaan
becandain,bercandain
berdasrkan,berdasarkan
bgini,begini
bgitulah,begitulah
bgm,bagaimana
bgmn,bagaimana
bgn,begini
bgni,begini
bgs,bagus
bgsnya,bagusnya
bgst,bangsat
bgt,banget
bgtt,banget
bgtu,begitulah
bhkan,bahkan
bhkn,bahkan
bhn,bahan
bhuahahahaha,hahaha
bhw,bahwa
biariinn,biarkan
biarin,biarkan
bid,bidang
bilng,bilang
bjngn,bajingan
bkan,bukan
bkin,bikin
bkl,bakal
bkn,bukan
bknya,bukannya
bkrj,bekerja
blg,bilang
blio,beliau
blm,belum
blng,bilang
blom,belum
blum,belum
bngt,banget
bnr,benar
bnrn,beneran
bntar,bentar
bnyak,banyak
bnyk,banyak
bodo,bodoh
booosss,bos
boss,bos
brani,berani
brapa,berapa
brarti,berarti
brebut,berebut
brharap,berharap
brikan,berikan
brita,berita
brooo,bro
brooowwwwww,bro
brp,berapa
brtopeng,bertopeng
bru,baru
bs,bisa
bsa,bisa
bsrta,beserta
bukanya,bukannya
buknnya,bukannya
buli,bully
bund,bunda
buzer,buzzer
buzerp,buzzer
buzerrp,buzzer
buzzer,buzzer
buzzernya,buzzer
buzzerp,buzzer
buzzerrp,buzzer
buzzers,buzzer
bwh,bawah
bwhnya,bawahannya
bwt,buat
byk,banyak
byr,bayar
cb,coba
cepet,cepat
ck,ck
ckck,ck
ckckck,ck
ckckckckk,ck
ckup,cukup
cm,cuma
cma,cuma
cmn,cuma
coment,komen
comment,komen
contonye,contohnya
copid,covid
copit,covid
copot,covid
corona,covid
coronavirus,covid
covidiot,covid
covit,covid
covod,covid
cpt,cepat
cra,cara
cuannnnnnn,cuan
daaaan,dan
dahh,dah
dahlah,dah
dalem,dalam
dech,deh
dehh,deh
dibbrp,di beberapa
diberitain,diberitakan
dibuli,dibully
didlm,di dalam
diem,diam
dihidupin,dihidupkan
diikutin,diikuti
dikasi,dikasih
dikorup,dikorupsi
diksh,dikasih
dimasukan,dimasukkan
dimasukin,dimasukkan
dipake,dipakai
diperdulikan,dipedulikan
diperingatin,diperingatkan
dipksa,dipaksa
dislrh,di seluruh
ditugasi,ditugaskan
dituduhkan,dituduh
diumumin,diumumkan
diumummin,diumumkan
djawab,dijawab
dkecewakan,dikecewakan
dlo,dulu
dlu,dulu
dluan,duluan
dmn,dimana
dmna,dimana
dn,dan
dng,dengan
dngan,dengan
dngn,dengan
doank,doang
dolar,dollar
dpn,depan
dprri,dpr ri
dri,dari
dripada,daripada
dsini,disini
dsna,disana
dtg,datang
dtng,datang
ee,eh
eee,eh
eeeeh,eh
eeeehhh,eh
eeeh,eh
eeh,eh
elit,elite
elo,kamu
elu,kamu
ema,emak
emng,emang
emngnya,emangnya
ente,kamu
erickthohir,erick thohir
erik,erick
ex,eks
exekutip,eksekutif
exponensial,eksponensial
exssis,eksis
extra,ekstra
fachful,fachrul
facrul,fachrul
fadilah,fadillah
faham,paham
fiks,fix
ga,gak
gaa,gak
gaaasss,gas
gaada,gak ada
gaakan,gak akan
gabakal,gak bakal
gabecus,gak becus
gabetul,gak betul
gabisa,gak bisa
gaboleh,gak boleh
gada,gak ada
gadak,gak ada
gajadi,gak jadi
gajelas,gak jelas
gakan,gak akan
gakdi,gak di
gamau,gak mau
gantiin,gantikan
gapake,gak pake
gapantes,gak pantes
gapapaaa,gapapa
gapeduli,gak peduli
gaperlu,gak perlu
gapernah,gak pernah
gapunya,gak punya
gausa,gak usah
gausah,gak usah
gerakn,gerakan
gilaa,gila
gilaaaa,gila
gile,gila
gils,gila
gimanaa,gimana
gimane,gimana
gimick,gimmick
gimna,gimana
gk,gak
gkan,gak akan
gmana,gimana
gmau,gak mau
gmn,gimana
gmna,gimana
goblog,goblok
gpp,gapapa
grgr,gara gara
grindra,gerindra
gsp,gosip
gt,gitu
gttu,gitu
gtu,gitu
gua,gue
gune,guna
gw,gue
gwa,gue
gwe,gue
hadeeeew,hadeh
hadeeeh,hadeh
hadeeehhhh,hadeh
hadeeuh,hadeh
hadeuh,hadeh
hadeuuuh,hadeh
hadeuuuuh,hadeh
haha,hahaha
hahahah,hahaha
hahahaha,hahaha
hahahahaha,hahaha
hahahhaa,hahaha
hahh,hah
hallo,halo
hayah,halah
hayoo,hayo
hayooo,hayo
hayuks,hayuk
hayyyyaaaa,halah
hbs,habis
hehe,hehehe
heheehehehe,hehehe
hehehee,hehehe
heheheeeee,hehehe
hehehehe,hehehe
hey,hei
hhe,hehehe
hhh,hahaha
hhhhhh,hahaha
hmmm,hmm
hny,hanya
hnya,hanya
hoaks,hoax
hobby,hobi
hooohooo,hohoho
hrsnya,harusnya
hsil,hasil
hslnya,hasilnya
hti,hati
huhu,huhuhu
hukumnnya,hukumannya
hukumnya,hukumnya
husus,khusus
huwaduh,waduh
indo,indonesia
indon,indonesia
indoneia,indonesia
indonesiaku,indonesia
indonesian,indonesia
inget,ingat
ingetin,ingatkan
innalilahi,innalillahi
innalillah,innalillahi
innfulencer,influencer
insyaallah,insya allah
insyaalloh,insya allah
insyallah,insya allah
intelligence,intelijen
inves,invest
ironi,ironis
irony,ironis
issu,isu
issue,isu
isterinya,istrinya
iyaa,iya
iyaaa,iya
jadii,jadi
jancok,anjing
jend,jendral
jenderal,jendral
jga,juga
jgan,jangan
jgn,jangan
jiahahaha,hahaha
jinggg,anjing
jiancuk,anjing
jk,jika
jka,jika
jkt,jakarta
jkw,jokowi
jkwi,jokowi
jln,jalan
jlnkan,jalankan
jls,jelas
jmlh,jumlah
jng,jangan
jngan,jangan
jngn,jangan
jobdesknya,jobdescnya
joged,joget
jwb,jawab
jwbnya,jawabnya
kabibet,kabinet
kaga,gak
kagak,gak
kalopun,kalau pun
karnakan,karena kan
kasi,kasih
kasian,kasihan
katany,katanya
kate,kata
kau,kamu
kayaknya,kayanya
kbijakan,kebijakan
kbjakan,kebijakan
keagaman,keagamaan
kebgian,kebagian
kebudayaaan,kebudayaan
kec,kecamatan
keknya,kayanya
kelaperan,kelaparan
kemaren,kemarin
kembaliin,kembalikan
kemendesa,kemendes
kemntrian,kementerian
kenapaa,kenapa
kendaliin,kendalikan
kerasss,keras
kereenn,keren
kerena,karena
kerjany,kerjanya
kesalahanya,kesalahannya
kesehatanya,kesehatannya
kesejahtraan,kesejahteraan
keshatan,kesehatan
kesni,kesini
ketawan,ketauan
ketrunan,keturunan
keuanganya,keungannya
keuntugan,keuntungan
kewargnegraan,kewarganegaraan
khusunya,khususnya
klau,kalau
klautan,kelautan
klean,kalian
kli,kalian
kliatan,keliatan
klo,kalau
klopun,kalau pun
klu,kalau
kluar,keluar
kluarga,keluarga
klw,kalau
km,kamu
kmanusiaan,kemanusiaan
kmatian,kematian
kmi,kami
kmn,kemana
kmr,kamar
kmren,kemarin
kmrin,kemarin
kmrn,kemarin
kmu,kamu
kmungkinan,kemungkinan
kmungkinn,kemungkinan
kn,kan
knapa,kenapa
knp,kenapa
knpa,kenapa
ko,kok
kog,kok
koment,komentar
komen,komentar
komennya,komentarnya
konfrensi,konferensi
kongkret,konkrit
konkret,konkrit
konpress,konferensi
konsekwensi,konsekuensi
konsekwensinya,konsekuensinya
konsen,konsentrasi
koord,koordinasi
koordinato,koordinator
koq,kok
kopid,covid
korbn,korban
kordinasi,koordinasi
kordinator,koordinator
korona,covid
koropsi,korupsi
korup,korupsi
korupnya,korupsinya
korupsiii,korupsi
korupsiin,korupsiin
kovid,covid
kpala,kepala
kpd,kepada
kpda,kepada
kpn,kapan
kresten,kristen
krj,kerja
krna,karena
ksehatn,kesehatan
ksih,kasih
ksini,kesini
kt,kata
ktanya,katanya
ktinggalan,ketinggalan
ktnya,katanya
kwalahan,kewalahan
kwkwk,wkwkwk
kwkwkwk,wkwkwk
ky,kayak
kya,kayak
kyak,kayak
kyk,kayak
kyknya,kayanya
laen,lain
laghi,lagi
lagih,lagi
lagim,lagi
laluu,lalu
lanjoott,lanjut
lg,lagi
lgi,lagi
lgsg,langsung
lgsng,langsung
lhaa,lha
lhadalah,lha
lhoooo,lho
lngsng,langsung
lsng,langsung
maap,maaf
maen,main
maluu,malu
mamak,mama
mane,mana
masi,masih
maslaah,masalah
maslah,masalah
masyaraknya,masyarakatnya
masyarakt,masyarakat
masyarkat,masyarakat
masyrakat,masyarakat
mbak,mba
mbk,mba
mbrantas,berantas
medisnya,medisnya
mgkin,mungkin
mgkn,mungkin
mhn,mohon
mjadi,menjadi
mk,maka
mkin,makin
mkn,makin
mksh,makasih
mlakukan,melakukan
mlawan,melawan
mleduk,meleduk
mlh,malah
mmbahu,membahu
mmbrikan,memberikan
mnding,mending
mndpatkn,mendapatkan
mndpt,mendapat
mndukung,mendukung
mnentukan,menentukan
mngangkat,mengangkat
mngatasi,mengatasi
mngatakan,mengatakan
mngerti,mengerti
mnghandle,menghandle
mngingat,mengingat
mngkontrol,mengontrol
mngumpulkn,mengumpulkan
mninggal,meninggal
mnjadi,menjadi
mnkes,menkes
mnolak,menolak
mnular,menular
mnurut,menurut
mnyebut,menyebut
mnyentuh,menyentuh
moment,momen
mreka,mereka
mrk,mereka
mrka,mereka
msa,masa
msh,masih
msi,masih
msih,masih
msk,masuk
mslh,masalah
msuk,masuk
mw,mau
nangani,menangani
nanganin,menangani
nda,gak
ndak,gak
negri,negeri
ngg,gak
ngga,gak
nggak,gak
nggk,gak
ngk,gak
ngliat,ngeliat
ngmg,ngomong
ngmgn,ngomong
ngmng,ngomong
nnti,nanti
nntn,nonton
ny,nya
nyaa,nya
ohh,oh
ohhhh,oh
oiii,oi
oiya,oh iya
oke,ok
olh,oleh
oo,oh
ooh,oh
oohh,oh
ooo,oh
ooohh,oh
oooiohhhh,oh
oooooohhhhh,oh
org,orang
orng,orang
owh,oh
pakk,pak
pd,pada
pda,pada
pdahal,padahal
pdhal,padahal
pdhl,padahal
pemerinth,pemerintah
perintahin,perintahkan
pmimpin,pemimpin
pngetahuan,pengetahuan
pnjlsan,penjelasan
pnting,penting
pny,punya
pnya,punya
point,poin
polis,polisi
positip,positif
positiv,positif
positive,positif
postif,positif
public,publik
rapot,rapor
rkt,rakyat
rkyt,rakyat
sbagai,sebagai
sbenernya,sebenarnya
sbg,sebagai
sbgai,sebagai
sblm,sebelum
sblmnya,sebelumnya
sbnarnya,sebenarnya
sbnrnya,sebenarnya
sbrp,seberapa
sby,surabaya
scara,secara
scr,secara
scra,secara
sdah,sudah
seklian,sekalian
sekrang,sekarang
sekrg,sekarang
sekrng,sekarang
selamt,selamat
semalem,semalam
semuanyaaa,semuanya
seorg,seorang
sgr,segera
sgt,sangat
sihh,sih
sihhhhh,sih
silahkan,silakan
sj,saja
sja,saja
sjarah,sejarah
sjln,sejalan
skali,sekali
skil,skill
skrang,sekarang
skrg,sekarang
skrng,sekarang
slalu,selalu
slama,selama
slh,salah
slhkan,salahkan
slhn,salahkan
sll,selalu
sllu,selalu
slm,selama
slmt,selamat
sluruh,seluruh
sm,sama
smbl,sambil
smbunyi,sembunyi
smentara,sementara
smg,semoga
smkn,semakin
smoga,semoga
smp,sampai
smpai,sampai
smpe,sampai
smua,semua
sndr,sendiri
sndri,sendiri
sngja,sengaja
snjata,senjata
soalkn,soalkan
social,sosial
sperti,seperti
spertinya,sepertinya
sprt,seperti
sprti,seperti
spt,seperti
spy,supaya
staff,staf
staffnya,stafnya
statemen,statement
statemennya,statementnya
survei,survey
suuzon,suudzon
swap,swab
sy,saya
sya,saya
syg,sayang
taik,tai
tanganin,tangani
tb,tiba
tbtb,tiba tiba
td,tidak
tdak,tidak
tdk,tidak
telh,telah
terimakasih,terima kasih
termsuk,termasuk
teros,terus
terooss,terus
test,tes
tggjwb,tanggung jawab
tgh,tengah
thd,terhadap
thdp,terhadap
thn,tahun
tkut,takut
tlah,telah
tlg,tolong
tlh,telah
tmbh,tambah
tmn,teman
tngkap,tangkap
tntg,tentang
tnya,tanya
topic,topik
topiq,topik
trawan,terawan
trbendung,terbendung
trburuk,terbendung
trdampak,terdampak
treak,teriak
triliyun,triliun
trilyun,triliun
trilyunan,triliunan
trima,terima
trimakasih,terima kasih
trims,terima kasih
trkena,terkena
trkendali,terkendali
trlalu,terlalu
trlepas,terlepas
trllu,terlalu
trmasuk,termasuk
trmksh,terima kasih
trmsk,termasuk
trnyata,ternyata
trnyta,ternyata
trpapar,terpapar
trs,terus
trsbt,tersebut
trsrah,terserah
trus,terus
truss,terus
ttg,tentang
ttp,tetap
twit,tweet
twiter,twitter
ud,sudah
uda,sudah
udaaah,sudah
udah,sudah
udahh,sudah
udahlah,sudahlah
udasih,sudah sih
udh,sudah
unt,untuk
untk,untuk
ustadz,ustad
virusny,virusnya
waduuh,waduh
waah,wah
wahh,wah
wilaya,wilayah
wkkk,wkwkwk
wkkwwkw,wkwkwk
wkl,wakil
wkt,waktu
wktu,waktu
wkw,wkwkwk
wkwk,wkwkwk
wkwkw,wkwkwk
wkwkwka,wkwkwk
wkwkwkk,wkwkwk
wkwkwkkwk,wkwkwk
wkwkwkw,wkwkwk
wkwkwkwk,wkwkwk
wkwkwkwwk,wkwkwk
wkwkwkwwkwkwkwkwk,wkwkwk
wkwkwwk,wkwkwk
woiii,woi
woiiii,woi
woiiiii,woi
womg,woi
wooiii,woi
wooyy,woi
xixixixi,xixixi
xx,xixixi
yaa,ya
yaaa,ya
yaaaa,ya
yaah,yah
yaampunn,yaampun
yach,yah
yaellah,yaelah
yak,ya
yakan,ya kan
yakk,ya
yakkk,ya
yallah,yaallah
yeah,yah
yeee,ya
yekan,ya kan
yes,ya
yh,yah
yha,yah
yng,yang